"host","num_identified_by_protocol","protocol","total_for_host"
"107.20.228.18",2,"""OGC""",8
"217.23.233.67",3,"""ISO""",3
"aberto.univem.edu.br",4,"""OAI-PMH""",23
"academicarchive.snhu.edu",3,"""OAI-PMH""",9
"academiccommons.columbia.edu",1,"""OAI-PMH""",18241
"acdisc.gsfc.nasa.gov",377,"""UNIDATA""",4597
"acdisc.gsfc.nasa.gov",785,"""OPeNDAP""",4597
"acdisc.sci.gsfc.nasa.gov",306,"""UNIDATA""",3978
"acdisc.sci.gsfc.nasa.gov",279,"""OPeNDAP""",3978
"acdisc.sci.gsfc.nasa.gov",4,"""OGC""",3978
"acikarsiv.atilim.edu.tr",1,"""OAI-PMH""",2
"akenergyinventory.org",2,"""FGDC""",2
"akgap.uaa.alaska.edu",2,"""FGDC""",2
"alaska.usgs.gov",1,"""FGDC""",45
"alcme.oclc.org",6,"""OAI-PMH""",8
"antropologie.zcu.cz",3,"""OAI-PMH""",9
"apps.fs.fed.us",24,"""OGC""",519
"apps.fs.usda.gov",2,"""OGC""",203
"apps.geomatics.gov.nt.ca",6,"""OGC""",11
"arcgis.sd.gov",2,"""OGC""",67
"archive.nyu.edu",1,"""OAI-PMH""",6
"archiv.ub.uni-marburg.de",13,"""OAI-PMH""",28
"arcticdata.utep.edu",1,"""OGC""",2
"arcticlcc.org",1,"""ISO""",66
"arcticlcc.org",64,"""FGDC""",66
"arno.uvt.nl",7,"""OAI-PMH""",19
"artheque.ens-cachan.fr",5,"""OAI-PMH""",7
"astropedia.astrogeology.usgs.gov",36,"""FGDC""",84
"atlas.geog.pdx.edu",9,"""OGC""",61
"atlas.resources.ca.gov",2,"""OGC""",225
"atlas.wvgs.wvnet.edu",27,"""OGC""",219
"aura.abdn.ac.uk",8,"""OAI-PMH""",30
"basemap.nationalmap.gov",12,"""OGC""",26
"basepub.dauphine.fr",8,"""OAI-PMH""",11
"bc.pollub.pl",3,"""OAI-PMH""",4
"bcpw.bg.pw.edu.pl",9,"""OAI-PMH""",24
"bd.org.tr",1,"""OAI-PMH""",11
"bio.discomap.eea.europa.eu",5,"""OGC""",36
"bir.brandeis.edu",17,"""OAI-PMH""",43
"bjohns.in",3,"""OAI-PMH""",14
"bluehub.jrc.ec.europa.eu",4,"""OGC""",281
"bluehub.jrc.ec.europa.eu",136,"""ISO""",281
"bluehub.jrc.ec.europa.eu",136,"""FGDC""",281
"books.bk.tudelft.nl",3,"""OAI-PMH""",11
"bora.uib.no",1,"""OAI-PMH""",8
"bradscholars.brad.ac.uk",4,"""OAI-PMH""",6
"bsj.pitt.edu",2,"""OAI-PMH""",5
