"the_year","status_code","num_per_status"
1900,200,9
1964,400,3
1973,400,96
1974,400,63
1975,400,87
1976,400,84
1977,400,78
1978,400,102
1979,400,90
1980,400,102
1981,400,81
1982,400,96
1983,400,99
1984,400,87
1985,400,75
1986,400,102
1987,400,108
1988,400,84
1989,400,102
1990,300,5
1990,400,102
1991,400,69
1992,200,3
1992,300,5
1992,400,72
1993,400,96
1994,300,3
1994,400,81
1994,1000,1
1995,200,1
1995,400,96
1996,400,102
1996,1000,12
1997,200,7
1997,300,6
1997,400,105
1997,1000,5
1998,200,38
1998,300,12
1998,400,122
1998,500,7
1998,1000,17
1999,200,26
1999,300,30
1999,400,90
1999,500,1
1999,1000,3
2000,200,22
2000,300,4
2000,400,101
2000,1000,11
2001,200,37
2001,300,13
2001,400,100
2001,500,1
2001,1000,50
2002,200,60
2002,300,9
2002,400,110
2002,500,13
2002,1000,19
2003,200,98
2003,300,15
2003,400,159
2003,500,6
2003,1000,70
2004,200,600
2004,300,71
2004,400,696
2004,500,10
2004,1000,260
2005,200,271
2005,300,138
2005,400,548
2005,500,7
2005,1000,110
2006,200,398
2006,300,217
2006,400,664
2006,500,3
2006,1000,133
2007,200,658
2007,300,418
2007,400,794
2007,500,4
2007,1000,162
2008,200,761
2008,300,214
2008,400,917
2008,500,6
2008,1000,99
2009,200,640
2009,300,145
2009,400,486
2009,500,4
2009,1000,169
2010,200,1307
2010,300,226
2010,400,516
2010,500,4
2010,1000,225
2011,200,1194
2011,300,276
2011,400,493
2011,1000,192
2012,200,1217
2012,300,475
2012,400,690
2012,1000,334
2013,200,2065
2013,300,345
2013,400,411
2013,500,7
2013,1000,279
2014,200,14145
2014,300,2933
2014,400,709
2014,500,47
2014,1000,1492
2015,200,43977
2015,300,1404
2015,400,1077
2015,500,154
2015,1000,5800
2030,300,12
2040,1000,1
8888,200,1
9999,200,5
9999,300,2
9999,400,45
9999,1000,3
